pref_num,name,2015年,2020年,2025年,2030年,2035年,2040年,2045年,rate,rate2
4362,山元町,12315,11561,10723,9808,8854,7829,6806,79.6,55.3
4401,松島町,14421,13549,12613,11614,10606,9554,8496,80.5,58.9
4404,七ヶ浜町,18652,17772,16745,15611,14426,13192,11906,83.7,63.8
4406,利府町,35835,36354,37009,37199,36959,36193,35037,103.8,97.8
4421,大和町,28244,29819,29081,28328,27399,26273,24968,100.3,88.4
4422,大郷町,8370,7872,7333,6775,6224,5638,5018,80.9,60.0
4424,大衡村,5703,5994,5588,5217,4855,4504,4148,91.5,72.7
4444,色麻町,7238,6859,6454,6073,5707,5305,4875,83.9,67.4
4445,加美町,23743,21914,20071,18307,16605,14876,13163,77.1,55.4
4501,涌谷町,16701,15658,14529,13391,12253,11067,9865,80.2,59.1
4505,美里町,24852,23383,21833,20219,18610,16915,15168,81.4,61.0
4581,女川町,6334,5747,5162,4584,4022,3508,3025,72.4,47.8
4606,南三陸町,12370,11317,10277,9286,8349,7406,6451,75.1,52.2
5000,秋田県,1023119,955838,885285,814295,744014,672617,601649,79.6,58.8
5201,秋田市,315814,305681,292927,278379,262418,244726,225923,88.1,71.5
5202,能代市,54730,50062,45267,40593,36132,31757,27564,74.2,50.4
5203,横手市,92197,85657,78905,72255,65720,58986,52235,78.4,56.7
5204,大館市,74175,69018,63626,58183,52895,47674,42577,78.4,57.4
5206,男鹿市,28375,24843,21494,18378,15482,12785,10352,64.8,36.5
5207,湯沢市,46613,42371,38304,34467,30771,27143,23585,73.9,50.6
5209,鹿角市,32038,29423,26803,24221,21763,19422,17197,75.6,53.7
5210,由利本荘市,79927,74398,68644,62857,57193,51506,45848,78.6,57.4
5211,潟上市,33083,31433,29511,27421,25268,22988,20632,82.9,62.4
5212,大仙市,82783,76951,70977,65157,59504,53771,48103,78.7,58.1
5213,北秋田市,33224,30046,26930,23928,21112,18420,15877,72.0,47.8
5214,にかほ市,25324,23000,20700,18462,16275,14144,12141,72.9,47.9
5215,仙北市,27523,25285,22942,20642,18472,16306,14231,75.0,51.7
5303,小坂町,5339,4669,4029,3454,2931,2458,2051,64.7,38.4
5327,上小阿仁村,2381,2060,1774,1514,1285,1084,904,63.6,38.0
5346,藤里町,3359,2923,2515,2138,1796,1482,1207,63.6,35.9
5348,三種町,17078,15281,13524,11866,10308,8813,7415,69.5,43.4
5349,八峰町,7309,6420,5586,4825,4126,3470,2876,66.0,39.3
5361,五城目町,9463,8408,7413,6464,5579,4755,4010,68.3,42.4
5363,八郎潟町,6080,5542,4985,4449,3933,3423,2925,73.2,48.1
5366,井川町,4986,4542,4089,3656,3247,2843,2445,73.3,49.0
5368,大潟村,3110,2931,2711,2478,2264,2070,1897,79.7,61.0
5434,美郷町,20279,18718,17114,15559,14055,12537,11029,76.7,54.4
5463,羽後町,15319,13827,12415,11076,9820,8587,7354,72.3,48.0
5464,東成瀬村,2610,2349,2100,1873,1665,1467,1271,71.8,48.7
6000,山形県,1123891,1072473,1015910,957314,897075,833844,768490,85.2,68.4
6201,山形市,253832,251603,246892,240361,232374,222938,212197,94.7,83.6
6202,米沢市,85953,81986,77483,72719,67817,62875,57720,84.6,67.2
6203,鶴岡市,129652,121881,113800,105651,97494,89194,80892,81.5,62.4
6204,酒田市,106244,100398,94214,87891,81401,74618,67776,82.7,63.8
6205,新庄市,36894,34696,32394,30116,27797,25416,23018,81.6,62.4
6206,寒河江市,41256,39799,38074,36246,34317,32214,29961,87.9,72.6
6207,上山市,31569,29230,26867,24531,22197,19846,17541,77.7,55.6
6208,村山市,24684,22525,20420,18486,16666,14850,13055,74.9,52.9
6209,長井市,27757,25857,23918,22022,20160,18269,16377,79.3,59.0
6210,天童市,62194,61702,60701,59270,57481,55283,52800,95.3,84.9
6211,東根市,47768,48345,48297,47885,47202,46183,44782,100.2,93.7
6212,尾花沢市,16953,15062,13242,11581,10064,8613,7247,68.3,42.7
6213,南陽市,32285,30715,29017,27272,25494,23649,21762,84.5,67.4
6301,山辺町,14369,13742,13010,12229,11424,10567,9636,85.1,67.1
6302,中山町,11363,10674,9993,9292,8564,7791,6989,81.8,61.5
6321,河北町,18952,17862,16707,15534,14358,13125,11868,82.0,62.6
6322,西川町,5636,4996,4404,3870,3388,2928,2490,68.7,44.2
6323,朝日町,7119,6425,5752,5125,4556,3986,3419,72.0,48.0
6324,大江町,8472,7757,7070,6421,5798,5172,4556,75.8,53.8
6341,大石田町,7357,6545,5790,5106,4462,3827,3224,69.4,43.8
6361,金山町,5829,5293,4814,4373,3960,3549,3144,75.0,53.9
6362,最上町,8902,8018,7161,6354,5584,4838,4114,71.4,46.2
6363,舟形町,5631,5126,4607,4133,3696,3253,2799,73.4,49.7
6364,真室川町,8137,7160,6250,5421,4669,3951,3283,66.6,40.3
6365,大蔵村,3412,3060,2721,2392,2093,1813,1535,70.1,45.0
6366,鮭川村,4317,3797,3339,2920,2515,2124,1762,67.6,40.8
6367,戸沢村,4773,4251,3771,3328,2915,2509,2112,69.7,44.2
6381,高畠町,23882,22546,21131,19687,18214,16682,15115,82.4,63.3
6382,川西町,15751,14228,12783,11443,10148,8869,7655,72.6,48.6
6401,小国町,7868,6931,6059,5251,4517,3841,3220,66.7,40.9
6402,白鷹町,14175,13030,11918,10860,9839,8811,7797,76.6,55.0
